Altium Designer Pick and Place Locations
D:\Dropbox\eCAT\Akvarij kontroler\Kontroler main board 1.0\\ProductionOutput\Pick_n_Place\Kontroler main board 1.0.csv

========================================================================================================================
File Design Information:

Date:       07/04/20
Time:       09:53
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Footprint","Center-X(mm)","Center-Y(mm)","Layer","Rotation","Comment"
"BLE1","RN4781U","123.0150","45.0300","TopLayer","270","RN4871"
"C1","0805_CAP","26.1350","44.8690","TopLayer","180","10uF 0805"
"C2","0805_CAP","26.1350","42.3290","TopLayer","180","10uF 0805"
"C3","0603_cap","26.0350","46.7740","TopLayer","180","100nF"
"C4","0603_cap","29.4826","42.2834","TopLayer","360","100nF"
"C5","0805_CAP","29.9824","44.8137","TopLayer","360","10uF 0805"
"C6","0603_cap","63.4815","62.8650","TopLayer","270","100nF"
"C7","0603_cap","67.2915","62.8650","TopLayer","270","100nF"
"C8","0603_cap","71.1015","62.8650","TopLayer","270","100nF"
"C9","0603_cap","74.9115","62.8650","TopLayer","270","100nF"
"C10","0603_cap","78.7215","62.8650","TopLayer","270","100nF"
"C11","0603_cap","34.0611","49.9606","TopLayer","315","100nF"
"C12","0603_cap","123.1150","19.0500","TopLayer","90","10uF 0603"
"C13","0603_cap","121.0926","34.2900","TopLayer","360","100nF"
"C14","0603_cap","27.8318","72.6424","TopLayer","90","100nF"
"C15","0603_cap","32.9855","72.6424","TopLayer","90","100nF"
"C17","0603_cap","40.1804","43.6396","TopLayer","135","22pF"
"C18","0603_cap","38.1000","45.7200","TopLayer","315","22pF"
"C19","0603_cap","35.3274","47.4090","TopLayer","45","100nF"
"C20","0603_cap","56.8071","57.7850","TopLayer","315","100nF"
"C21","0603_cap","50.1650","64.1350","TopLayer","135","100nF"
"C22","0603_cap","18.4150","58.7120","TopLayer","180","100nF"
"C23","0603_cap","6.3500","74.2950","TopLayer","0","100nF"
"C24","0603_cap","43.1950","67.3100","TopLayer","360","100nF"
"C25","0805_CAP","107.3148","41.5300","TopLayer","270","10uF 0805"
"C26","0603_cap","80.1800","38.0300","TopLayer","270","12pF"
"C27","0603_cap","80.1800","34.9250","TopLayer","90","12pF"
"C28","0603_cap","118.7450","24.7650","TopLayer","90","Capacitor"
"C29","0603_cap","112.3950","30.4800","TopLayer","90","100nF"
"C30","0603_cap","117.1400","32.6068","TopLayer","270","100nF"
"C31","0603_cap","114.9350","33.6550","TopLayer","360","100nF"
"C32","0603_cap","117.4750","19.0500","TopLayer","270","100nF"
"C33","0603_cap","82.0578","42.0505","TopLayer","90","100nF"
"C34","0603_cap","124.4600","38.5998","TopLayer","180","10uF 0603"
"D1","SOD80","88.0014","39.4756","TopLayer","360","NP"
"D2","DO-214AC","99.0450","71.7550","TopLayer","360","Diode"
"D3","DO-214AC","109.4100","71.7550","TopLayer","360","Diode"
"D4","DO-214AC","119.3800","71.7550","TopLayer","360","Diode"
"GR1","SOT4","95.8850","6.9850","TopLayer","270","GR"
"H1","36903205S","117.4750","26.6700","TopLayer","0","20x20x3mm"
"IC1","SOIC8","86.3800","34.9250","TopLayer","360","MCP7940N"
"IC2","SOT23-6","121.5390","31.1300","TopLayer","90","ADS1110"
"IC3","SOIC8","114.9350","24.7650","TopLayer","90","NE5532A"
"IC4","SOIC18","62.2300","37.3800","TopLayer","270","ULN2803A"
"J1","61200621621","24.8650","57.9373","TopLayer","270","ISP"
"J2","61300411121","50.8000","33.0200","TopLayer","360","04p"
"J3","CONN_BNC_RA_PCB","114.9350","7.4930","TopLayer","180","BNC Fem. 50R"
"J4","691241510008","104.1400","78.1050","TopLayer","180","LEDs"
"J5","691241510008","69.8500","5.0800","TopLayer","360","230 VAC porabniki"
"J6","691241510008","27.9400","5.0800","TopLayer","360","CRPALKE"
"J7","691241510006","23.4950","78.1050","TopLayer","180","691241510006"
"K1","S8411_BAT_HOLDER","98.3750","32.8700","TopLayer","270","S8411 bat holder"
"LD1","LED_5050","5.0021","70.1050","TopLayer","180","RGB_LED"
"OC1","SOIC16","76.6678","45.7550","TopLayer","360","HCPL-244"
"P1","612010235221","72.3900","70.8350","TopLayer","180","ADCs"
"P3","612010235221","50.1650","70.8350","TopLayer","180","Digital"
"Pwr1","AC-DC_5V_3W","11.4700","30.5750","TopLayer","180","5V"
"R1","0603_RES","52.6822","67.0250","TopLayer","270","4k7"
"R2","0603_RES","50.1650","67.0250","TopLayer","270","4k7"
"R3","0603_RES","46.3550","67.3100","TopLayer","180","4k7"
"R4","0603_RES","67.2779","66.6750","TopLayer","90","1k"
"R5","0603_RES","69.8500","66.6750","TopLayer","90","1k"
"R6","0603_RES","72.3900","66.6750","TopLayer","90","1k"
"R7","0603_RES","74.9300","66.6750","TopLayer","90","1k"
"R8","0603_RES","77.4700","66.6750","TopLayer","90","1k"
"R9","0603_RES","32.7911","48.6906","TopLayer","135","10k"
"R10","0603_RES","116.2756","46.8300","TopLayer","180","0R"
"R11","0603_RES","116.2750","45.2800","TopLayer","180","0R"
"R12","0603_RES","31.1150","72.6424","TopLayer","90","1k"
"R13","0603_RES","26.0373","72.6424","TopLayer","90","1k"
"R15","0603_RES","10.2721","68.5800","TopLayer","180","470"
"R16","0603_RES","10.2721","70.4850","TopLayer","180","470"
"R17","0603_RES","10.2721","72.3900","TopLayer","180","470"
"R18","0603_RES","83.5564","39.4756","TopLayer","180","100R"
"R19","0603_RES","121.2850","19.0500","TopLayer","270","10k"
"R20","0603_RES","114.9350","31.7500","TopLayer","360","100R"
"R21","0603_RES","115.5700","19.0500","TopLayer","90","1M"
"R22","0603_RES","114.9350","29.8450","TopLayer","360","4k7"
"R23","0603_RES","119.3800","19.0500","TopLayer","90","4k7"
"R24","0603_RES","117.8100","29.8450","TopLayer","360","4k7"
"R25","0603_RES","92.4605","52.0700","TopLayer","180","10k"
"R26","0603_RES","92.4605","50.1902","TopLayer","360","470"
"R27","0603_RES","106.3405","52.2426","TopLayer","180","10k"
"R28","0603_RES","106.3805","50.3628","TopLayer","360","470"
"R29","0603_RES","70.6100","48.9300","TopLayer","360","470"
"R30","0603_RES","70.6100","46.3900","TopLayer","360","470"
"R31","0603_RES","70.6100","43.8500","TopLayer","360","470"
"R32","1812_RES","94.4421","17.0700","TopLayer","90","470k 1812"
"R33","0603_RES","121.1650","52.2226","TopLayer","180","10k"
"R34","0603_RES","106.3805","48.4326","TopLayer","360","470"
"R35","0603_RES","83.9064","42.0350","TopLayer","270","10k"
"Re1","Mini_PCB_Relay_OJE","50.9250","21.7900","TopLayer","270","Relay SPST"
"Re2","Mini_PCB_Relay_OJE","62.2300","21.7900","TopLayer","270","Relay SPST"
"Re3","Mini_PCB_Relay_OJE","73.6600","21.7900","TopLayer","270","Relay SPST"
"Re4","Mini_PCB_Relay_OJE","85.0900","21.7900","TopLayer","270","Relay SPST"
"Re5","Finder_relay","28.0200","22.8600","TopLayer","270","Relay single"
"Re6","Finder_relay","39.4500","22.8600","TopLayer","270","Relay single"
"SD1","SD_Card_Micro","10.3300","57.6452","TopLayer","90","Micro SD"
"T1","TDSON-8","91.0188","56.4845","TopLayer","0","MOSFET-P"
"T2","TDSON-8","104.7488","56.6571","TopLayer","0","MOSFET-P"
"T3","TDSON-8","119.5783","56.6571","TopLayer","0","MOSFET-P"
"U1","SOT89","27.4050","39.5840","TopLayer","270","3V3 reg"
"U2","64A_N","46.9900","52.6489","TopLayer","315","ATmega64A-AU"
"VAR1","C7.5VN","12.0650","11.4300","TopLayer","180","varistor"
"X1","Xtal_smd_3x5","36.6951","42.4160","TopLayer","315","11.0592"
"X2","Xtal-32k","77.7498","36.5962","TopLayer","180","32k Xtal"
"ZD1","SOD323","65.3865","62.8650","TopLayer","90","ZD3V6 SOD323"
"ZD2","SOD323","69.1965","62.8650","TopLayer","90","ZD3V6 SOD323"
"ZD3","SOD323","73.0065","62.8650","TopLayer","90","ZD3V6 SOD323"
"ZD4","SOD323","76.8165","62.8650","TopLayer","90","ZD3V6 SOD323"
"ZD5","SOD323","80.6450","62.8650","TopLayer","90","ZD3V6 SOD323"
"ZD6","SOD80","99.6950","19.0500","TopLayer","360","5V1"
"ZD7","SOD323","23.0293","72.6424","TopLayer","360","ZD3V6 SOD323"
"ZD8","SOD323","35.9632","72.6424","TopLayer","180","ZD3V6 SOD323"
"ZD11","SOD80","87.9800","42.3750","TopLayer","360","NP"
